disease_number,dx,description,icd_ver
1,001,cholera*,ICD9CM-V32
1,0010,cholera d/t vib cholerae,ICD9CM-V32
1,0011,cholera d/t vib el tor,ICD9CM-V32
1,0019,cholera nos,ICD9CM-V32
1,002,typhoid/paratyphoid fev*,ICD9CM-V32
1,0020,typhoid fever,ICD9CM-V32
1,0021,paratyphoid fever a,ICD9CM-V32
1,0022,paratyphoid fever b,ICD9CM-V32
1,0023,paratyphoid fever c,ICD9CM-V32
1,0029,paratyphoid fever nos,ICD9CM-V32
1,003,oth salmonella infection*,ICD9CM-V32
1,0030,salmonella enteritis,ICD9CM-V32
1,0031,salmonella septicemia,ICD9CM-V32
1,0032,local salmonella infect*,ICD9CM-V32
1,00320,local salmonella inf nos,ICD9CM-V32
1,00321,salmonella meningitis,ICD9CM-V32
1,00322,salmonella pneumonia,ICD9CM-V32
1,00323,salmonella arthritis,ICD9CM-V32
1,00324,salmonella osteomyelitis,ICD9CM-V32
1,00329,local salmonella inf nec,ICD9CM-V32
1,0038,salmonella infection nec,ICD9CM-V32
1,0039,salmonella infection nos,ICD9CM-V32
1,004,shigellosis*,ICD9CM-V32
1,0040,shigella dysenteriae,ICD9CM-V32
1,0041,shigella flexneri,ICD9CM-V32
1,0042,shigella boydii,ICD9CM-V32
1,0043,shigella sonnei,ICD9CM-V32
1,0048,shigella infection nec,ICD9CM-V32
1,0049,shigellosis nos,ICD9CM-V32
1,005,other food poisoning*,ICD9CM-V32
1,0050,staph food poisoning,ICD9CM-V32
1,0051,botulism food poisoning,ICD9CM-V32
1,0052,food pois d/t c. perfrin,ICD9CM-V32
1,0053,food pois: clostrid nec,ICD9CM-V32
1,0054,food pois: v. parahaem,ICD9CM-V32
1,0058,bact food poisoning nec*,ICD9CM-V32
1,00581,food poisn d/t v. vulnif,ICD9CM-V32
1,00589,bact food poisoning nec,ICD9CM-V32
1,0059,food poisoning nos,ICD9CM-V32
1,006,amebiasis*,ICD9CM-V32
1,0060,ac amebiasis w/o abscess,ICD9CM-V32
1,0061,chr amebiasis w/o absces,ICD9CM-V32
1,0062,amebic nondysent colitis,ICD9CM-V32
1,0063,amebic liver abscess,ICD9CM-V32
1,0064,amebic lung abscess,ICD9CM-V32
1,0065,amebic brain abscess,ICD9CM-V32
1,0066,amebic skin ulceration,ICD9CM-V32
1,0068,amebic infection nec,ICD9CM-V32
1,0069,amebiasis nos,ICD9CM-V32
1,007,oth protozoal intest dis*,ICD9CM-V32
1,0070,balantidiasis,ICD9CM-V32
1,0071,giardiasis,ICD9CM-V32
1,0072,coccidiosis,ICD9CM-V32
1,0073,intest trichomoniasis,ICD9CM-V32
1,0074,cryptosporidiosis,ICD9CM-V32
1,0075,cyclosporiasis,ICD9CM-V32
1,0078,protozoal intest dis nec,ICD9CM-V32
1,0079,protozoal intest dis nos,ICD9CM-V32
1,008,intestinal infection nec*,ICD9CM-V32
1,0080,e. coli enteritis*,ICD9CM-V32
1,00800,intest infec e coli nos,ICD9CM-V32
1,00801,int inf e coli entrpath,ICD9CM-V32
1,00802,int inf e coli entrtoxgn,ICD9CM-V32
1,00803,int inf e coli entrnvsv,ICD9CM-V32
