weight	disease_number
0.00582	1
0.01188	2
0.00831	3
0.00797	4
-0.00513	5
-0.00061	6
0.00439	7
0.01078	8
-0.00564	9
0.0085	10
-0.00804	11
-0.0068	12
0.04745	13
0.02112	14
0.01353	15
0.04031	16
0.0041	17
0.00338	18
-0.00061	19
0.0174	20
0.0192	21
0.01989	22
0.01552	23
0.00106	24
0.01234	25
-0.0052	26
0.01185	27
0.01295	28
0.00261	29
0.0005	30
0.00388	31
0.01047	32
0.01062	33
-0.02131	34
0.00561	35
-0.00053	36
0.01408	37
0.00984	38
0.00021	39
0.00389	40
-0.00836	41
0.00073	42
0.00593	43
-0.00231	44
0.01119	45
0.02042	46
0.01074	47
-0.00142	48
-0.00189	49
0.00191	50
0.00118	51
-0.01208	52
0.00149	53
0.0017	54
-0.00094	55
0.00169	56
0.01389	57
-0.00712	58
-0.00049	59
0.00614	60
-0.01568	61
-0.01053	62
-0.01215	63
-0.00129	64
0.00327	65
0.00843	66
-0.00301	67
0.00789	68
-0.01082	69
-0.00427	70
0.00295	71
-0.00046	72
-0.00828	73
-0.0084	74
-0.00012	75
-0.01426	76
0.00127	77
0.01022	78
0.0236	79
0.02375	80
0.00947	81
-0.00167	82
0.02821	83
0.08649	84
0.00665	85
0.00385	86
0.00805	87
0.02702	88
-0.00158	89
-0.01136	90
0.00664	91
0.00412	92
0.07802	93
